Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
292350426184212,2017-03-12,,2017-03-12,6.2 b-e part. Как user я могу получить список иностранных слов из общего словаря с сервера.,,,,,,6.  Как user я могу посмотреть список иностранных слов с детальным описанием из общего словаря.
266209635232033,2017-02-07,,2017-03-12,"8. Как user я могу просмотреть список-напоминание из слов, отмеченных как выученные, которые необходимо повторять,
   по правилу - в тот же день, на следующий день, раз в неделю, раз в месяц, раз в квартал, раз в полгода, раз в год;
",,,,,Thesaurus (Личный словарь иностранных слов),
292350426184215,2017-03-12,,2017-03-12,8.1. f-e part. Как user я могу просмотреть список-напоминание из слов иностранных слов.,Ruslana Podshyvalova,,,,,"8. Как user я могу просмотреть список-напоминание из слов, отмеченных как выученные, которые необходимо повторять,
   по правилу - в тот же день, на следующий день, раз в неделю, раз в месяц, раз в квартал, раз в полгода, раз в год;
"
292350426184216,2017-03-12,,2017-03-12,8.2 b-e part. Как user я могу получить  список-напоминание из слов иностранных слов.,,,,,,"8. Как user я могу просмотреть список-напоминание из слов, отмеченных как выученные, которые необходимо повторять,
   по правилу - в тот же день, на следующий день, раз в неделю, раз в месяц, раз в квартал, раз в полгода, раз в год;
"
292350426184217,2017-03-12,,2017-03-12,8.2.1 b-e part. Как user я могу получить  список-напоминание из слов иностранных слов на email.,,,,,,"8. Как user я могу просмотреть список-напоминание из слов, отмеченных как выученные, которые необходимо повторять,
   по правилу - в тот же день, на следующий день, раз в неделю, раз в месяц, раз в квартал, раз в полгода, раз в год;
"
266209635232035,2017-02-07,2017-03-09,2017-03-09,11. Как admin я могу создавать тему для слов.,bezpalchukv@gmail.com,2017-03-09,,,Thesaurus (Личный словарь иностранных слов),
283102157408364,2017-03-01,2017-03-09,2017-03-09,Как admin я могу видеть список всех пользователей,bezpalchukv@gmail.com,,,,,11. Как admin я могу создавать тему для слов.
283102157408365,2017-03-01,2017-03-09,2017-03-09,Как admin я могу видеть список всех тем,bezpalchukv@gmail.com,,,,,11. Как admin я могу создавать тему для слов.
266209635232039,2017-02-07,,2017-03-12,1. Как user я могу отсортировать список слов по алфавиту.,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184218,2017-03-12,,2017-03-12,1.1. f-e part. Как user я могу просмотреть список иностранных слов по алфавиту.,Ruslana Podshyvalova,,,,,1. Как user я могу отсортировать список слов по алфавиту.
292350426184219,2017-03-12,,2017-03-12,1.2 b-e part. Как user я могу получить список иностранных слов по алфавиту с сервера.,,,,,,1. Как user я могу отсортировать список слов по алфавиту.
266209635232045,2017-02-07,,2017-03-12,2. Как user я могу вывесты все выученные/невыученные слова.,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184220,2017-03-12,,2017-03-12,2.1. f-e part. Как user я могу просмотреть список выученных/невыученных иностранных слов.,Ruslana Podshyvalova,,,,,2. Как user я могу вывесты все выученные/невыученные слова.
292350426184221,2017-03-12,,2017-03-12,2.2.b-e part. Как user я могу получить список выученных/невыученных иностранных слов.,,,,,,2. Как user я могу вывесты все выученные/невыученные слова.
266209635232041,2017-02-07,,2017-03-12,3. Как user я могу вывесты все слова по темам.,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184222,2017-03-12,,2017-03-12,3.1. f-e part. Как user я могу просмотреть список иностранных слов по темам.,Ruslana Podshyvalova,,,,,3. Как user я могу вывесты все слова по темам.
292350426184223,2017-03-12,,2017-03-12,3.2 b-e part. Как user я могу получить список иностранных слов по темам с сервера.,,,,,,3. Как user я могу вывесты все слова по темам.
266209635232043,2017-02-07,,2017-03-12,9. Как user я могу искать слово в личном/общем словаре.,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184226,2017-03-12,,2017-03-12,9.1. f-e part. Как user я могу искать слово в личном/общем словаре.,Ruslana Podshyvalova,,,,,9. Как user я могу искать слово в личном/общем словаре.
292350426184227,2017-03-12,,2017-03-12,9.2 b-e part. Как user я могу получить с сервера искомое слово из личного/общего словаря,,,,,,9. Как user я могу искать слово в личном/общем словаре.
266209635232037,2017-02-07,,2017-03-12,4. Как admin я могу реактивировать учетную запись пользователя. ,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184224,2017-03-12,,2017-03-12,4.1. f-e part. Как admin я могу реактивировать учетную запись пользователя.,Ruslana Podshyvalova,,,,,4. Как admin я могу реактивировать учетную запись пользователя. 
292350426184225,2017-03-12,,2017-03-12,4.2 b-e part. Как admin я могу сохранить измененные мной учетные данные пользователя на сервере.,,,,,,4. Как admin я могу реактивировать учетную запись пользователя. 
261535319012331,2017-02-02,,2017-02-04,"ТЗ - ""Личный словарь иностранных слов"" ",,,,"Техзадание на проект ""Личный словарь иностранных слов"".

Обязательная часть:

1) регистрация пользователей. Назначить права для пользователя так, что каждый пользователь должен иметь доступ только к общему и его персональному словарю;

2) пользователь может создавать карточку на слово, формируя свой личный словарь. Карточка содержит информацию о - слово, транскрипция, перевод, ассоциации на слово, это слово в контексте, возможность загружать свои изображения или фото на слово. В карточке пользователь может отметить слово, как выученное;

3) для пользователя формируется и выводится список-напоминание из слов, отмеченных как выученные, которые необходимо повторять, по правилу - в тот же день, на следующий день, раз в неделю, раз в месяц, раз в квартал, раз в полгода, раз в год;


Дополнительная часть:

4) модуль проверки знания пользователем выученных слов;
5) модуль заучивания правописания слова;
6) предоставить пользователям возможность делится персональным словарем или конкретной карточкой слова друг с другом;
7) добавлять слово в словарь по клику и выделению на других сайтах;
8) поиск нужного слова в словаре;
9) если пользователь не зашел на сайт и пропустил время повторения слов то они отсылаются ему на имейл.
10) вывести все выученные слова или не выученные, вывести по темам",Thesaurus (Личный словарь иностранных слов),
